index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,crew,director
0,85000000,Action,https://example.com/skyline-rush,MV2024EN001,city chase,en,Skyline Rush,An elite courier uncovers a conspiracy in New York,88.4,Northlight Pictures,USA,2025-01-19,210000000,123,English,Released,Run before dawn,Skyline Rush,8.1,18450,Evan Cole|Mia Hart,Unit A,Daniel Shore
1,52000000,Drama,https://example.com/winter-letter,MV2024EN002,family secrets,en,Winter Letter,A teacher finds old letters that change her family story,72.8,Blue Harbor Studio,USA,2025-02-09,96500000,114,English,Released,Truth finds a way,Winter Letter,7.6,9720,Olivia Reed|Mark Flynn,Unit B,Clara Benson
2,68000000,Thriller,https://example.com/echo-point,MV2024EN003,mind game,en,Echo Point,A forensic analyst tracks a killer using sound clues,79.1,Silver Frame,UK,2025-03-01,142000000,118,English,Released,Hear the truth,Echo Point,7.9,12880,Luke Grayson|Nora Vale,Unit C,Henry Miles
3,91000000,SciFi,https://example.com/orbit-fall,MV2024EN004,space mission,en,Orbit Fall,A rescue crew races to save a failing orbital city,91.6,Helios Works,USA,2025-03-29,256000000,131,English,Released,No gravity no mercy,Orbit Fall,8.4,22640,Aiden Ross|Tara Quinn,Unit D,Victor Lane
4,47000000,Romance,https://example.com/river-and-rain,MV2024EN005,second chance,en,River and Rain,Two former lovers reunite during a flood relief mission,69.5,Morning Bell,Canada,2025-04-12,84500000,109,English,Released,Love returns with rain,River and Rain,7.3,8340,Emma Blake|Jon Pierce,Unit E,Sophie Trent
5,76000000,Action,https://example.com/steel-horizon,MV2024EN006,cyber city,en,Steel Horizon,A former soldier fights a rogue AI syndicate,86.2,Irongate Media,USA,2025-04-26,198000000,126,English,Released,Future has a trigger,Steel Horizon,8.0,17610,Ryan Holt|Isla Kent,Unit F,Marcus Reid
6,39000000,Comedy,https://example.com/five-blocks-left,MV2024EN007,road trip,en,Five Blocks Left,Three friends lose a lottery ticket and chase it across town,61.7,Sunny Reel,USA,2025-05-10,70100000,102,English,Released,Luck takes a detour,Five Blocks Left,7.1,6405,Noah Price|Cody Lane,Unit G,Peter Lang
7,112000000,Adventure,https://example.com/golden-tide,MV2024EN008,treasure,en,Golden Tide,A diver team searches for a sunken royal vault,93.4,Crown Crest,UK,2025-05-31,312000000,136,English,Released,Fortune under waves,Golden Tide,8.5,26430,Liam West|Chloe Ward,Unit H,Arthur Cole
8,43000000,Horror,https://example.com/hollow-house,MV2024EN009,haunted estate,en,Hollow House,A podcast crew records voices from an abandoned mansion,68.3,Night Signal,USA,2025-06-14,91000000,107,English,Released,Do not answer,Hollow House,7.4,9022,Ruby Shaw|Dean Porter,Unit I,Elena Cross
9,58000000,Mystery,https://example.com/the-last-clue,MV2024EN010,detective,en,The Last Clue,A retired detective solves one final locked room case,74.9,Maple Leaf Films,Canada,2025-06-28,129000000,116,English,Released,Every secret leaves a mark,The Last Clue,7.8,11795,Grant Ellis|Sara Moon,Unit J,Neil Carter
10,99000000,SciFi,https://example.com/quantum-bloom,MV2024EN011,time paradox,en,Quantum Bloom,A scientist repeats one day to prevent a climate collapse,89.1,Aurora Strand,USA,2025-07-12,288000000,129,English,Released,Tomorrow starts now,Quantum Bloom,8.3,21980,Julia Knox|Ethan Webb,Unit K,Naomi Pierce
11,46000000,Drama,https://example.com/harbor-lights,MV2024EN012,coming of age,en,Harbor Lights,A young sailor rebuilds life in a storm hit town,66.0,Seastone Arts,UK,2025-07-26,80200000,111,English,Released,Find your shore,Harbor Lights,7.2,7810,Leo Finch|Mara Bell,Unit L,Simon Vale
12,72000000,Action,https://example.com/blade-protocol,MV2024EN013,secret agent,en,Blade Protocol,An undercover agent stops a drone weapon auction,84.7,Vector Films,USA,2025-08-09,207000000,124,English,Released,One code one shot,Blade Protocol,8.0,16990,Jack Rowan|Nina Cole,Unit M,Ian Mercer
13,51000000,Thriller,https://example.com/silent-case,MV2024EN014,courtroom,en,Silent Case,A defense lawyer uncovers evidence hidden in old tapes,73.6,Red Oak Studio,USA,2025-08-23,113000000,113,English,Released,Silence is evidence,Silent Case,7.7,10350,Paige Nolan|Henry Fox,Unit N,Ruth Garner
14,64000000,Adventure,https://example.com/arctic-pulse,MV2024EN015,ice station,en,Arctic Pulse,A climate crew survives sabotage at a polar base,81.5,Polar Arc,Norway,2025-09-06,158000000,119,English,Released,Cold has a heartbeat,Arctic Pulse,7.9,14220,Cole Barrett|Ivy Stone,Unit O,Lars Henrik
15,41000000,Comedy,https://example.com/office-undo,MV2024EN016,workplace,en,Office Undo,A failed startup gets one absurd second chance,62.9,Laughline Pictures,USA,2025-09-20,75200000,105,English,Released,Plan B is chaos,Office Undo,7.0,6885,Ben Turner|Gina Hall,Unit P,Molly Greene
16,83000000,Fantasy,https://example.com/ember-kingdom,MV2024EN017,magic realm,en,Ember Kingdom,A blacksmith heir awakens a fire crown legacy,87.8,Myth Forge,UK,2025-10-04,243000000,132,English,Released,Crowns burn bright,Ember Kingdom,8.2,20110,Owen Pierce|Lena Frost,Unit Q,Adrian Wells
