index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,imdb_rating,cast,crew,director
0,312699461,Action,https://example.com/movie-1,MV200000001,action hindi cinema,hi,Rising Code Hindi Action 1,Rising Code Hindi Action 1 is a action movie in Hindi language.,58.404,Bollywood Studios,India,2000-01-01,625398922,159,Hindi,Released,Experience the Action story,Rising Code Hindi Action 1,7.9,219292,8.1,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
1,252912004,Action,https://example.com/movie-2,MV200200002,action hindi cinema,hi,Eternal Legacy Hindi Action 2,Eternal Legacy Hindi Action 2 is a action movie in Hindi language.,87.919,Bollywood Studios,India,2002-03-03,505824008,123,Hindi,Released,Experience the Action story,Eternal Legacy Hindi Action 2,8.0,27779,8.2,Lead Actor|Lead Actress,Main Unit,Raj Mehta
2,96497685,Action,https://example.com/movie-3,MV200400003,action hindi cinema,hi,Final Frontier Hindi Action 3,Final Frontier Hindi Action 3 is a action movie in Hindi language.,61.825,Hindi Vision Films,India,2004-05-05,385990740,110,Hindi,Released,Experience the Action story,Final Frontier Hindi Action 3,8.3,16211,8.1,Lead Actor|Lead Actress,Main Unit,Neha Verma
3,224929408,Action,https://example.com/movie-4,MV200600004,action hindi cinema,hi,Wild Code Hindi Action 4,Wild Code Hindi Action 4 is a action movie in Hindi language.,70.056,Bollywood Studios,India,2006-07-07,449858816,167,Hindi,Released,Experience the Action story,Wild Code Hindi Action 4,7.3,53249,7.3,Lead Actor|Lead Actress,Main Unit,Raj Mehta
4,193656477,Action,https://example.com/movie-5,MV200800005,action hindi cinema,hi,Final Storm Hindi Action 5,Final Storm Hindi Action 5 is a action movie in Hindi language.,72.476,Mumbai Motion Pictures,India,2008-09-09,968282385,141,Hindi,Released,Experience the Action story,Final Storm Hindi Action 5,8.4,207745,8.4,Lead Actor|Lead Actress,Main Unit,Neha Verma
5,186195018,Action,https://example.com/movie-6,MV201000006,action hindi cinema,hi,Dark Code Hindi Action 6,Dark Code Hindi Action 6 is a action movie in Hindi language.,66.687,Mumbai Motion Pictures,India,2010-11-11,1117170108,152,Hindi,Released,Experience the Action story,Dark Code Hindi Action 6,8.9,154581,9.0,Lead Actor|Lead Actress,Main Unit,Neha Verma
6,208639813,Action,https://example.com/movie-7,MV201200007,action hindi cinema,hi,Final Legacy Hindi Action 7,Final Legacy Hindi Action 7 is a action movie in Hindi language.,94.729,Mumbai Motion Pictures,India,2012-01-13,625919439,100,Hindi,Released,Experience the Action story,Final Legacy Hindi Action 7,7.3,202479,7.3,Lead Actor|Lead Actress,Main Unit,Raj Mehta
7,213000591,Action,https://example.com/movie-8,MV201400008,action hindi cinema,hi,Wild Frontier Hindi Action 8,Wild Frontier Hindi Action 8 is a action movie in Hindi language.,66.787,Mumbai Motion Pictures,India,2014-03-15,1278003546,103,Hindi,Released,Experience the Action story,Wild Frontier Hindi Action 8,9.3,93161,9.2,Lead Actor|Lead Actress,Main Unit,Raj Mehta
8,191219193,Adventure,https://example.com/movie-9,MV200800009,adventure hindi cinema,hi,Silent Pulse Hindi Adventure 1,Silent Pulse Hindi Adventure 1 is a adventure movie in Hindi language.,71.989,Hindi Vision Films,India,2008-09-09,1338534351,152,Hindi,Released,Experience the Adventure story,Silent Pulse Hindi Adventure 1,8.8,195669,9.0,Lead Actor|Lead Actress,Main Unit,Neha Verma
9,87865327,Adventure,https://example.com/movie-10,MV201000010,adventure hindi cinema,hi,Royal Signal Hindi Adventure 2,Royal Signal Hindi Adventure 2 is a adventure movie in Hindi language.,38.773,Mumbai Motion Pictures,India,2010-11-11,439326635,111,Hindi,Released,Experience the Adventure story,Royal Signal Hindi Adventure 2,7.1,48052,7.1,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
