index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,crew,director
0,123847493,Action,https://example.com/movie-1,MV20230001,action movie 2023,en,Silent Signal 1,Silent Signal 1 is a action story set in 2023.,86.9,Northlight Pictures,USA,2023-01-01,247694986,141,English,Released,Experience Silent Signal 1,Silent Signal 1,7.0,10344,Lead Actor|Lead Actress,Main Unit,Daniel Shore
1,54345092,Drama,https://example.com/movie-2,MV20240002,drama movie 2024,en,Golden Empire 2,Golden Empire 2 is a drama story set in 2024.,80.4,Maple Leaf Films,USA,2024-02-02,163035276,130,English,Released,Experience Golden Empire 2,Golden Empire 2,6.3,7340,Lead Actor|Lead Actress,Main Unit,Daniel Shore
2,98140807,Thriller,https://example.com/movie-3,MV20250003,thriller movie 2025,en,Broken Frontier 3,Broken Frontier 3 is a thriller story set in 2025.,79.1,Maple Leaf Films,USA,2025-03-03,490704035,112,English,Released,Experience Broken Frontier 3,Broken Frontier 3,8.5,47162,Lead Actor|Lead Actress,Main Unit,Daniel Shore
3,46429110,Romance,https://example.com/movie-4,MV20230004,romance movie 2023,en,Hidden Voyage 4,Hidden Voyage 4 is a romance story set in 2023.,67.0,Helios Works,USA,2023-04-04,232145550,119,English,Released,Experience Hidden Voyage 4,Hidden Voyage 4,9.0,50929,Lead Actor|Lead Actress,Main Unit,Naomi Pierce
4,37448136,Comedy,https://example.com/movie-5,MV20240005,comedy movie 2024,en,Final Pulse 5,Final Pulse 5 is a comedy story set in 2024.,64.3,Silver Frame,USA,2024-05-05,187240680,104,English,Released,Experience Final Pulse 5,Final Pulse 5,8.6,7898,Lead Actor|Lead Actress,Main Unit,Clara Benson
5,86662963,Adventure,https://example.com/movie-6,MV20250006,adventure movie 2025,en,Neon Protocol 6,Neon Protocol 6 is a adventure story set in 2025.,81.0,Silver Frame,USA,2025-06-06,173325926,122,English,Released,Experience Neon Protocol 6,Neon Protocol 6,8.8,49023,Lead Actor|Lead Actress,Main Unit,Henry Miles
6,102490893,Horror,https://example.com/movie-7,MV20230007,horror movie 2023,en,Crimson Legend 7,Crimson Legend 7 is a horror story set in 2023.,67.6,Northlight Pictures,USA,2023-07-07,307472679,143,English,Released,Experience Crimson Legend 7,Crimson Legend 7,8.2,24900,Lead Actor|Lead Actress,Main Unit,Naomi Pierce
7,56244663,Mystery,https://example.com/movie-8,MV20240008,mystery movie 2024,en,Shadow Cipher 8,Shadow Cipher 8 is a mystery story set in 2024.,83.4,Northlight Pictures,USA,2024-08-08,112489326,122,English,Released,Experience Shadow Cipher 8,Shadow Cipher 8,8.7,6429,Lead Actor|Lead Actress,Main Unit,Daniel Shore
8,72683626,SciFi,https://example.com/movie-9,MV20250009,scifi movie 2025,en,Electric Summit 9,Electric Summit 9 is a scifi story set in 2025.,82.3,Silver Frame,USA,2025-09-09,218050878,140,English,Released,Experience Electric Summit 9,Electric Summit 9,7.4,25460,Lead Actor|Lead Actress,Main Unit,Victor Lane
9,110225343,Fantasy,https://example.com/movie-10,MV20230010,fantasy movie 2023,en,Frozen Harbor 10,Frozen Harbor 10 is a fantasy story set in 2023.,95.3,Silver Frame,USA,2023-10-10,330676029,132,English,Released,Experience Frozen Harbor 10,Frozen Harbor 10,8.3,41120,Lead Actor|Lead Actress,Main Unit,Ruth Garner
10,117363534,Action,https://example.com/movie-11,MV20240011,action movie 2024,en,Burning Signal 11,Burning Signal 11 is a action story set in 2024.,74.9,Blue Harbor Studio,USA,2024-11-11,352090602,141,English,Released,Experience Burning Signal 11,Burning Signal 11,7.1,43143,Lead Actor|Lead Actress,Main Unit,Clara Benson
11,78843426,Drama,https://example.com/movie-12,MV20250012,drama movie 2025,en,Secret Empire 12,Secret Empire 12 is a drama story set in 2025.,64.8,Silver Frame,USA,2025-12-12,315373704,102,English,Released,Experience Secret Empire 12,Secret Empire 12,6.3,21873,Lead Actor|Lead Actress,Main Unit,Daniel Shore
12,92005685,Thriller,https://example.com/movie-13,MV20230013,thriller movie 2023,en,Silent Frontier 13,Silent Frontier 13 is a thriller story set in 2023.,92.7,Blue Harbor Studio,USA,2023-01-13,460028425,139,English,Released,Experience Silent Frontier 13,Silent Frontier 13,7.2,44154,Lead Actor|Lead Actress,Main Unit,Naomi Pierce
13,97340307,Romance,https://example.com/movie-14,MV20240014,romance movie 2024,en,Golden Voyage 14,Golden Voyage 14 is a romance story set in 2024.,66.4,Helios Works,USA,2024-02-14,389361228,145,English,Released,Experience Golden Voyage 14,Golden Voyage 14,7.0,37989,Lead Actor|Lead Actress,Main Unit,Clara Benson
14,43566572,Comedy,https://example.com/movie-15,MV20250015,comedy movie 2025,en,Broken Pulse 15,Broken Pulse 15 is a comedy story set in 2025.,93.6,Maple Leaf Films,USA,2025-03-15,217832860,103,English,Released,Experience Broken Pulse 15,Broken Pulse 15,7.5,15573,Lead Actor|Lead Actress,Main Unit,Victor Lane
15,81661351,Adventure,https://example.com/movie-16,MV20230016,adventure movie 2023,en,Hidden Protocol 16,Hidden Protocol 16 is a adventure story set in 2023.,61.6,Northlight Pictures,USA,2023-04-16,163322702,122,English,Released,Experience Hidden Protocol 16,Hidden Protocol 16,6.7,45796,Lead Actor|Lead Actress,Main Unit,Daniel Shore
16,26540956,Horror,https://example.com/movie-17,MV20240017,horror movie 2024,en,Final Legend 17,Final Legend 17 is a horror story set in 2024.,97.8,Helios Works,USA,2024-05-17,53081912,141,English,Released,Experience Final Legend 17,Final Legend 17,7.9,37456,Lead Actor|Lead Actress,Main Unit,Naomi Pierce
17,83353204,Mystery,https://example.com/movie-18,MV20250018,mystery movie 2025,en,Neon Cipher 18,Neon Cipher 18 is a mystery story set in 2025.,88.0,Maple Leaf Films,USA,2025-06-18,250059612,127,English,Released,Experience Neon Cipher 18,Neon Cipher 18,7.3,20434,Lead Actor|Lead Actress,Main Unit,Henry Miles
18,127268835,SciFi,https://example.com/movie-19,MV20230019,scifi movie 2023,en,Crimson Summit 19,Crimson Summit 19 is a scifi story set in 2023.,92.7,Northlight Pictures,USA,2023-07-19,381806505,130,English,Released,Experience Crimson Summit 19,Crimson Summit 19,7.0,34006,Lead Actor|Lead Actress,Main Unit,Ruth Garner
19,51697396,Fantasy,https://example.com/movie-20,MV20240020,fantasy movie 2024,en,Shadow Harbor 20,Shadow Harbor 20 is a fantasy story set in 2024.,67.8,Northlight Pictures,USA,2024-08-20,155092188,121,English,Released,Experience Shadow Harbor 20,Shadow Harbor 20,8.2,41109,Lead Actor|Lead Actress,Main Unit,Ruth Garner
20,105388981,Action,https://example.com/movie-21,MV20250021,action movie 2025,en,Electric Signal 21,Electric Signal 21 is a action story set in 2025.,96.0,Blue Harbor Studio,USA,2025-09-21,421555924,129,English,Released,Experience Electric Signal 21,Electric Signal 21,9.2,1237,Lead Actor|Lead Actress,Main Unit,Naomi Pierce
21,66273847,Drama,https://example.com/movie-22,MV20230022,drama movie 2023,en,Frozen Empire 22,Frozen Empire 22 is a drama story set in 2023.,95.0,Northlight Pictures,USA,2023-10-22,198821541,101,English,Released,Experience Frozen Empire 22,Frozen Empire 22,9.0,54072,Lead Actor|Lead Actress,Main Unit,Daniel Shore
